year,cluster,household,honeyprice_index,honeyproduction_index,greenland_total,TSP,PM2.5,PM10,SOx,NOx,VOCs,NH3,CO,BC,temp_mean,temp_min,temp_max,temp_mean_min,temp_mean_max,rain,rain_max,humidity_mean,sunhour,sunrate,windspeed,crop_total,agriculture_total,vegi,fruit,flower
1999, , ,69.4,50.4, ,84835, ,63251,484716,1072323,665043,49544,885179, ,12.9,-10.8,33.3,9.3,16.8,1722,195.7,63.8,2119.3,47.61,3,92.3,93.6,68.7,102.8,34.5
2000, , ,70.8,84.7, ,82101, ,61719,490761,1122844,706915,48484,900569, ,12,-10.9,33.7,8.1,16,1345.2,93.3,62.6,2145.7,48.09,2.7,94.9,96.4,68.3,106.2,30.7
2001, , ,75.1,105.3, ,88075, ,67368,487734,1219020,734814,231453,845076, ,12.2,-14.6,34.2,8.2,16.4,1164.2,99.1,59.3,2055.6,46.17,2.4,95.6,97.1,70.5,105.8,163.6
2002,1772458,45131,79.3,128, ,84365, ,65100,474084,1242265,741647,222581,822767, ,12,-11,36.6,8,16.3,1550.3,295.5,61.2,2033.4,45.65,2.3,92.5,93.7,65.5,107.2,52.8
2003,1871648,43635,81.9,145.9, ,85941, ,66357,469145,1362141,758455,235301,805414, ,11.7,-14.8,33.2,8,15.7,1899,121,67.8,1771.1,39.77,2.3,88.7,89.3,67.1,97.4,23.6
2004,2012734,41121,97.2,74.8, ,80084, ,62491,446804,1377526,797240,243661,816954, ,13.2,-15.6,37.1,9.1,17.6,1587.3,241,59.8,2273.7,50.94,2.6,93.9,95,77.1,103.4,21.7
2005,2089762,41039,100,113.8, ,88909, ,67343,408462,1306724,756421,247149,788917, ,12,-13.1,36,8.1,16.1,1349.2,105,59.2,2236.1,50.2,2.6,95.1,95.7,80.5,110.8,27
2006,1976121,38297,94.1,109.6, ,88260, ,64795,446488,1274969,794158,235703,829938, ,11.9,-11.9,33,8.3,16,1609.2,232,64.1,1748.7,39.26,2.5,93,93.4,76.8,104.9,21.9
2007,1889514,36744,92.3,102.7,99720391764.3,144510, ,98143,402525,1187923,874699,308707,808862, ,13,-8.6,35.3,9.3,17.2,1264.7,87,63.3,1892.3,42.49,2.5,94.6,95.4,77.8,112.3,23.5
2008,1858574,32927,86.9,122.4,99827784396,171603, ,110797,417980,1045104,857856,265720,703661, ,13,-10.9,34.7,9.2,17.1,1415,148,63,2224.6,49.84,2.4,98.7,99.6,80.7,112.5,18.1
2009,1988021,35304,87.0501711467,110,99897411054.6,155497, ,103735,387727,1014318,851162,278201,817979, ,12.8,-10,32.4,8.9,17,1420.1,149.5,61.1,2185.2,49.06,2.5,103,103.5,76.9,102.7,236.2
2010,1697847,25013,92.2984747776,183.9,100033075827.1,177601, ,116808,401741,1061210,866358,289766,766269, ,12.3,-11.6,35.1,8.6,16.5,1283.6,93,62.3,2065.7,46.38,2.4,102.1,102.5,102.5,91.1,242.2
2011,1531609,19387,95.6237482766,154.1,100148218044.1,201810,81793,131176,433959,1040214,873108,276415,718345, ,12.1,-13.2,35.7,8.4,16,1656.1,139,62,2043.2,45.88,2.2,92.8,92.9,91.8,84.8,158.1
2012,1795197,20482,94.1991954393,128.6,100188083290.4,182744,76287,119980,417645,1075207,911322,303463,703586,7271,12,-14.3,34.7,8.5,15.8,1217.7,175,67.4,2101,47.52,2.3,99.6,100.2,100,82,133.7
2013,1756993,19903, ,117.3,100266245030,185986,76802,121563,404660,1090614,913573,292973,696682,14238,12.9,-14.1,35.8,9.1,16.7,1115.7,102,65.7,2439.3,54.76,2.3,100,101,100.2,89.6,119.9
2014,1952962,21214, ,117.6,100283945001.3,147194,63286,97918,343161,1135743,905803,292501,594454,13426,13.2,-10.8,34.6,9.3,17.1,1099,138,68.3,2386,53.57,2.2,101,101,104.9,95.9,108.3
2015,1962989,22533, ,113.6,100295350806,604243,98806,233177,352292,1157728,1010771,297167,792776,15934,12.6,-10.4,35.4,8.8,16.6,1127.7,114.5,67.5,2413.6,55.43,2.1,100,100,100.1,100.4,98.8
2016,2155180,22609, ,68.9,100339486194.1,611539,100247,233085,358951,1248309,1024029,301301,795044,16401,12.8,-16.4,35.9,9,16.8,1333.8,206.4,68.4,2205.3,49.74,1.9,99,99,95.1,103.7,92.9
2017,2388237,24629, ,72.1,100363715033.7,592582,91731,218476,315530,1189800,1047585,308298,817420,15555,13.1,-11.2,34.9,8.9,17.4,1208.2,89.4,61.6,2497.9,56.08,1.8,98,97.9,95.7,101.8,85.6
2018,2592197,26487, ,47.3,100377668317.6,617481,98388,232993,300979,1153265,1035636,315975,808801,15562,12.6,-16.2,38.7,8.5,16.9,1777,226.2,61.7,2421.1,54.36,1.9,98.7,98.8,93.7,92.4,82.2
2019,2744141,29026, ,109.9,100401284999.9,484527,87618,207866,272859,1086862,1020216,316299,757848,14211,13.8,-9,36.1,9.6,18,1355.5,203.7,60.6,2543.1,57.11,1.9,100.7,101.2,98.6,95.2,80.9
2020,2679842,27532, ,24.8,100412598711.4,392351,58558,146733,180157,929227,990629,261207,711399,11945,13.3,-11.3,35.1,9.3,17.5,2085.8,214.6,61.7,2447.9,54.85,2.1,95.4,96.2,88.6,84,76.6
2021,2690023,27591, ,77,100431849363.5, , , , , , , , , ,13.2,-16.1,33.8,9.2,17.4,1199.7,83.5,64.5,2478.1,55.77,2,99.6,100.3,89.4,91,76.5
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
